"Week","HomeTeam","AwayTeam","Actual","PoissonPred","EloPred","EnsemblePred","PoissonCorrect","EloCorrect","EnsembleCorrect","BothAgree","Confidence","ConfBucket"
28,"Napoli","Torino","H","H","H","H",TRUE,TRUE,TRUE,TRUE,34,"30-40%"
28,"Cagliari","Como","A","A","A","A",TRUE,TRUE,TRUE,TRUE,8,"0-20%"
28,"Atalanta","Udinese","D","H","H","H",FALSE,FALSE,FALSE,TRUE,39,"30-40%"
28,"Juventus","Pisa","H","H","H","H",TRUE,TRUE,TRUE,TRUE,45,"40%+"
28,"Lecce","Cremonese","H","A","H","A",FALSE,TRUE,FALSE,FALSE,5,"0-20%"
28,"Bologna","Verona","A","H","H","H",FALSE,FALSE,FALSE,TRUE,33,"30-40%"
28,"Fiorentina","Parma","D","H","H","H",FALSE,FALSE,FALSE,TRUE,35,"30-40%"
28,"Genoa","Roma","H","A","A","A",FALSE,FALSE,FALSE,TRUE,17,"0-20%"
28,"Milan","Inter","H","A","A","A",FALSE,FALSE,FALSE,TRUE,14,"0-20%"
28,"Lazio","Sassuolo","H","H","H","H",TRUE,TRUE,TRUE,TRUE,37,"30-40%"
29,"Torino","Parma","H","H","H","H",TRUE,TRUE,TRUE,TRUE,16,"0-20%"
29,"Inter","Atalanta","D","H","H","H",FALSE,FALSE,FALSE,TRUE,18,"0-20%"
29,"Napoli","Lecce","H","H","H","H",TRUE,TRUE,TRUE,TRUE,44,"40%+"
29,"Udinese","Juventus","A","A","A","A",TRUE,TRUE,TRUE,TRUE,26,"20-30%"
29,"Verona","Genoa","A","A","D","A",TRUE,FALSE,TRUE,FALSE,5,"0-20%"
29,"Pisa","Cagliari","H","H","H","H",TRUE,TRUE,TRUE,TRUE,16,"0-20%"
29,"Sassuolo","Bologna","A","A","A","A",TRUE,TRUE,TRUE,TRUE,12,"0-20%"
29,"Como","Roma","H","A","A","A",FALSE,FALSE,FALSE,TRUE,11,"0-20%"
29,"Lazio","Milan","H","H","H","H",TRUE,TRUE,TRUE,TRUE,8,"0-20%"
29,"Cremonese","Fiorentina","A","A","A","A",TRUE,TRUE,TRUE,TRUE,27,"20-30%"
30,"Cagliari","Napoli","A","A","A","A",TRUE,TRUE,TRUE,TRUE,39,"30-40%"
30,"Genoa","Udinese","A","H","H","H",FALSE,FALSE,FALSE,TRUE,11,"0-20%"
30,"Parma","Cremonese","A","H","H","H",FALSE,FALSE,FALSE,TRUE,12,"0-20%"
30,"Milan","Torino","H","H","H","H",TRUE,TRUE,TRUE,TRUE,30,"20-30%"
30,"Juventus","Sassuolo","D","H","H","H",FALSE,FALSE,FALSE,TRUE,47,"40%+"
30,"Como","Pisa","H","H","H","H",TRUE,TRUE,TRUE,TRUE,22,"20-30%"
30,"Atalanta","Verona","H","H","H","H",TRUE,TRUE,TRUE,TRUE,41,"40%+"
30,"Bologna","Lazio","A","H","H","H",FALSE,FALSE,FALSE,TRUE,8,"0-20%"
30,"Roma","Lecce","H","H","H","H",TRUE,TRUE,TRUE,TRUE,45,"40%+"
30,"Fiorentina","Inter","D","A","A","A",FALSE,FALSE,FALSE,TRUE,21,"20-30%"
31,"Sassuolo","Cagliari","H","H","H","H",TRUE,TRUE,TRUE,TRUE,16,"0-20%"
31,"Verona","Fiorentina","A","A","A","A",TRUE,TRUE,TRUE,TRUE,22,"20-30%"
31,"Lazio","Parma","D","H","H","H",FALSE,FALSE,FALSE,TRUE,36,"30-40%"
31,"Cremonese","Bologna","A","A","A","A",TRUE,TRUE,TRUE,TRUE,22,"20-30%"
31,"Pisa","Torino","A","A","H","A",TRUE,FALSE,TRUE,FALSE,5,"0-20%"
31,"Inter","Roma","H","H","H","H",TRUE,TRUE,TRUE,TRUE,29,"20-30%"
31,"Udinese","Como","D","A","A","A",FALSE,FALSE,FALSE,TRUE,5,"0-20%"
31,"Lecce","Atalanta","A","A","A","A",TRUE,TRUE,TRUE,TRUE,42,"40%+"
31,"Juventus","Genoa","H","H","H","H",TRUE,TRUE,TRUE,TRUE,40,"30-40%"
31,"Napoli","Milan","H","H","H","H",TRUE,TRUE,TRUE,TRUE,17,"0-20%"
32,"Roma","Pisa","H","H","H","H",TRUE,TRUE,TRUE,TRUE,45,"40%+"
32,"Cagliari","Cremonese","H","H","H","H",TRUE,TRUE,TRUE,TRUE,12,"0-20%"
32,"Torino","Verona","H","H","H","H",TRUE,TRUE,TRUE,TRUE,15,"0-20%"
32,"Milan","Udinese","A","H","H","H",FALSE,FALSE,FALSE,TRUE,37,"30-40%"
32,"Atalanta","Juventus","A","H","H","H",FALSE,FALSE,FALSE,TRUE,7,"0-20%"
32,"Genoa","Sassuolo","H","H","H","H",TRUE,TRUE,TRUE,TRUE,15,"0-20%"
32,"Parma","Napoli","D","A","A","A",FALSE,FALSE,FALSE,TRUE,38,"30-40%"
32,"Bologna","Lecce","H","H","H","H",TRUE,TRUE,TRUE,TRUE,35,"30-40%"
32,"Como","Inter","A","A","A","A",TRUE,TRUE,TRUE,TRUE,35,"30-40%"
32,"Fiorentina","Lazio","H","H","H","H",TRUE,TRUE,TRUE,TRUE,8,"0-20%"
33,"Sassuolo","Como","H","A","A","A",FALSE,FALSE,FALSE,TRUE,7,"0-20%"
33,"Inter","Cagliari","H","H","H","H",TRUE,TRUE,TRUE,TRUE,56,"40%+"
33,"Udinese","Parma","A","H","H","H",FALSE,FALSE,FALSE,TRUE,11,"0-20%"
33,"Napoli","Lazio","A","H","H","H",FALSE,FALSE,FALSE,TRUE,19,"0-20%"
33,"Roma","Atalanta","D","A","H","H",FALSE,FALSE,FALSE,FALSE,7,"0-20%"
33,"Cremonese","Torino","D","A","D","A",FALSE,TRUE,FALSE,FALSE,14,"0-20%"
33,"Verona","Milan","A","A","A","A",TRUE,TRUE,TRUE,TRUE,31,"30-40%"
33,"Pisa","Genoa","A","H","H","H",FALSE,FALSE,FALSE,TRUE,6,"0-20%"
33,"Juventus","Bologna","H","H","H","H",TRUE,TRUE,TRUE,TRUE,31,"30-40%"
33,"Lecce","Fiorentina","D","A","A","A",FALSE,FALSE,FALSE,TRUE,26,"20-30%"
